               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.031199,            0.014336,           0.0059136,             0.95074,             0.93669,             0.96254,             0.72703,            0.015142,           0.0064649,           0.0016101,            0.006931,            0.006931,            0.006931
                 126,            0.031304,            0.014187,           0.0056176,             0.95228,              0.9354,              0.9626,             0.72709,            0.015141,           0.0064642,           0.0016016,           0.0069063,           0.0069063,           0.0069063
                 127,            0.031284,            0.014068,           0.0059929,             0.95307,             0.93554,             0.96263,             0.72757,            0.015142,           0.0064634,           0.0015958,           0.0068815,           0.0068815,           0.0068815
                 128,            0.030922,            0.014067,           0.0060662,              0.9538,             0.93504,             0.96264,             0.72771,            0.015142,           0.0064622,           0.0015911,           0.0068568,           0.0068568,           0.0068568
                 129,            0.031366,            0.014191,           0.0059713,             0.95437,             0.93518,             0.96268,              0.7276,            0.015141,           0.0064605,           0.0015827,            0.006832,            0.006832,            0.006832
                 130,             0.03136,            0.014207,            0.006179,             0.95499,             0.93457,             0.96268,             0.72761,             0.01514,           0.0064584,             0.00158,           0.0068073,           0.0068073,           0.0068073
                 131,            0.031263,            0.014037,           0.0064117,             0.95587,             0.93448,             0.96272,              0.7279,            0.015139,           0.0064571,           0.0015734,           0.0067825,           0.0067825,           0.0067825
                 132,            0.031573,            0.014198,           0.0063659,             0.95607,             0.93436,             0.96278,             0.72723,             0.01514,           0.0064584,           0.0015677,           0.0067577,           0.0067577,           0.0067577
                 133,            0.031038,            0.014044,           0.0059897,             0.95621,             0.93454,             0.96263,             0.72737,            0.015141,             0.00646,           0.0015638,            0.006733,            0.006733,            0.006733
                 134,            0.031299,            0.013987,           0.0062401,             0.95622,             0.93463,             0.96257,             0.72751,            0.015143,             0.00646,           0.0015633,           0.0067082,           0.0067082,           0.0067082
                 135,            0.031573,            0.014296,           0.0060696,             0.95522,             0.93545,             0.96254,             0.72714,            0.015145,             0.00646,           0.0015629,           0.0066835,           0.0066835,           0.0066835
                 136,            0.030957,            0.013935,           0.0057636,             0.95543,             0.93596,             0.96248,               0.727,            0.015146,           0.0064601,           0.0015652,           0.0066587,           0.0066587,           0.0066587
                 137,            0.031556,            0.014449,           0.0070288,             0.95431,             0.93546,             0.96203,             0.72721,            0.015152,           0.0064657,           0.0015597,            0.006634,            0.006634,            0.006634
                 138,            0.031708,            0.014282,            0.006624,             0.95822,             0.93319,             0.96195,              0.7271,            0.015157,            0.006473,           0.0015519,           0.0066092,           0.0066092,           0.0066092
                 139,            0.031706,            0.014563,           0.0066978,             0.95811,             0.93251,             0.96186,             0.72694,            0.015159,           0.0064757,           0.0015454,           0.0065845,           0.0065845,           0.0065845
                 140,            0.031337,            0.014009,           0.0059487,             0.95353,             0.93638,             0.96183,             0.72689,            0.015158,           0.0064786,            0.001542,           0.0065598,           0.0065598,           0.0065598
                 141,            0.031115,            0.013913,           0.0056634,             0.95402,             0.93727,             0.96184,             0.72695,             0.01516,           0.0064803,           0.0015386,            0.006535,            0.006535,            0.006535
                 142,            0.031655,            0.014422,           0.0058428,             0.95482,             0.93629,             0.96175,             0.72683,            0.015163,           0.0064813,           0.0015413,           0.0065102,           0.0065102,           0.0065102
                 143,             0.03077,            0.014126,           0.0056352,             0.95377,             0.93726,              0.9621,             0.72659,            0.015164,           0.0064817,           0.0015456,           0.0064855,           0.0064855,           0.0064855
                 144,            0.030861,            0.013984,           0.0053307,             0.95377,             0.93728,             0.96219,             0.72664,            0.015164,            0.006481,           0.0015494,           0.0064608,           0.0064608,           0.0064608
                 145,            0.030881,            0.013919,           0.0057882,             0.95391,             0.93658,             0.96212,             0.72657,            0.015162,           0.0064813,           0.0015503,            0.006436,            0.006436,            0.006436
                 146,            0.031214,            0.014029,           0.0060487,             0.95513,             0.93528,             0.96209,             0.72625,            0.015161,           0.0064826,           0.0015508,           0.0064112,           0.0064112,           0.0064112
                 147,            0.031082,            0.014172,           0.0061607,             0.95474,             0.93522,             0.96209,             0.72637,             0.01516,            0.006481,           0.0015511,           0.0063865,           0.0063865,           0.0063865
                 148,            0.030964,              0.0139,           0.0061076,             0.95501,              0.9347,             0.96169,             0.72647,            0.015161,           0.0064801,           0.0015547,           0.0063618,           0.0063618,           0.0063618
                 149,            0.030714,            0.013932,            0.005788,             0.95519,             0.93484,             0.96167,             0.72682,            0.015162,           0.0064794,           0.0015551,            0.006337,            0.006337,            0.006337
                 150,            0.030948,            0.013967,           0.0058594,             0.95563,              0.9347,             0.96165,              0.7266,            0.015164,            0.006479,            0.001556,           0.0063122,           0.0063122,           0.0063122
                 151,            0.030804,            0.013823,           0.0056939,             0.95598,             0.93451,             0.96162,              0.7269,            0.015165,           0.0064788,           0.0015546,           0.0062875,           0.0062875,           0.0062875
                 152,            0.030612,            0.013871,           0.0055799,             0.95621,             0.93437,             0.96165,             0.72693,            0.015165,           0.0064802,           0.0015557,           0.0062628,           0.0062628,           0.0062628
